X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
20034,ET,152,Outside City Limits,2019-03
20035,ET,555,Toronto,2019-03
20036,NY,68,Outside City Limits,2019-03
20037,NY,344,Toronto,2019-03
20038,SC,97,Outside City Limits,2019-03
20039,SC,433,Toronto,2019-03
20040,ET,111,Outside City Limits,2019-04
20041,ET,347,Toronto,2019-04
20042,NY,54,Outside City Limits,2019-04
20043,NY,253,Toronto,2019-04
20044,SC,136,Outside City Limits,2019-04
20045,SC,522,Toronto,2019-04
20046,ET,205,Outside City Limits,2019-05
20047,ET,407,Toronto,2019-05
20048,NY,43,Outside City Limits,2019-05
20049,NY,268,Toronto,2019-05
20050,SC,118,Outside City Limits,2019-05
20051,SC,678,Toronto,2019-05
20052,ET,73,Outside City Limits,2019-06
20053,ET,164,Toronto,2019-06
20054,NY,133,Outside City Limits,2019-06
20055,NY,395,Toronto,2019-06
20056,SC,77,Outside City Limits,2019-06
20057,SC,465,Toronto,2019-06
20058,ET,157,Outside City Limits,2019-07
20059,ET,256,Toronto,2019-07
20060,NY,69,Outside City Limits,2019-07
20061,NY,316,Toronto,2019-07
20062,SC,155,Outside City Limits,2019-07
20063,SC,704,Toronto,2019-07
20064,ET,93,Outside City Limits,2019-08
20065,ET,242,Toronto,2019-08
20066,NY,89,Outside City Limits,2019-08
20067,NY,316,Toronto,2019-08
20068,SC,107,Outside City Limits,2019-08
20069,SC,432,Toronto,2019-08
20070,ET,140,Outside City Limits,2019-09
20071,ET,266,Toronto,2019-09
20072,NY,87,Outside City Limits,2019-09
20073,NY,312,Toronto,2019-09
20074,SC,106,Outside City Limits,2019-09
20075,SC,385,Toronto,2019-09
20076,ET,109,Outside City Limits,2019-10
20077,ET,306,Toronto,2019-10
20078,NY,59,Outside City Limits,2019-10
20079,NY,323,Toronto,2019-10
20080,SC,81,Outside City Limits,2019-10
20081,SC,509,Toronto,2019-10
20082,ET,155,Outside City Limits,2019-11
20083,ET,500,Toronto,2019-11
20084,NY,100,Outside City Limits,2019-11
20085,NY,277,Toronto,2019-11
20086,SC,135,Outside City Limits,2019-11
20087,SC,631,Toronto,2019-11
20088,TO,39,Outside City Limits,2019-11
20089,TO,178,Toronto,2019-11
20090,ET,154,Outside City Limits,2019-12
20091,ET,332,Toronto,2019-12
20092,NY,40,Outside City Limits,2019-12
20093,NY,124,Toronto,2019-12
20094,SC,125,Outside City Limits,2019-12
20095,SC,523,Toronto,2019-12
20096,ET,149,Outside City Limits,2020-01
20097,ET,416,Toronto,2020-01
20098,NY,86,Outside City Limits,2020-01
20099,NY,563,Toronto,2020-01
20100,SC,157,Outside City Limits,2020-01
20101,SC,557,Toronto,2020-01
20102,TO,46,Outside City Limits,2020-01
20103,TO,218,Toronto,2020-01
20104,ET,123,Outside City Limits,2020-02
20105,ET,313,Toronto,2020-02
20106,NY,61,Outside City Limits,2020-02
20107,NY,298,Toronto,2020-02
20108,SC,102,Outside City Limits,2020-02
20109,SC,282,Toronto,2020-02
20110,TO,58,Outside City Limits,2020-02
20111,TO,252,Toronto,2020-02
20112,ET,86,Outside City Limits,2020-03
20113,ET,269,Toronto,2020-03
20114,NY,30,Outside City Limits,2020-03
